id,player,team,goals
1,"Mateo Retegui","Atalanta",25
2,"Moise Kean","Fiorentina",19
3,"Ademola Lookman","Atalanta",15
4,"Riccardo Orsolini","Bologna",15
5,"Marcus Thuram","Inter",14
6,"Romelu Lukaku","Napoli",14
7,"Lautaro Martinez","Inter",12
8,"Scott McTominay","Inter",12
9,"Artem Dovbyk","Roma",12
10,"Lorenzo Lucca","Udinese",12
11,"Nikola Krstovic","Lecce",11
12,"Christian Pulisic","Milan",11
13,"Roberto Piccoli","Cagliari",10
14,"Andrea Pinamonti","Genoa",10
15,"Dusan Vlahovic","Juventus",10
16,"Taty Castellanos","Lazio",10
17,"Pedro","Lazio",10
18,"Tijjani Reijnders","Milan",10
19,"Boulaye Dia","Lazio",9
20,"Ché Adams","Torino",9